codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
1837783746463879,Bardog,Taquaral,1,62735,4755.858116457308,Fri,43,manha,16,tarde,21,noite,6,"R. dos Cravos, 33 - Chácara Primavera, 13087-470 Campinas"
451678204930218,Taxi Beer Drinks Express,Parque Ecológico,2,14781,999.3712095089348,Fri,3,manha,1,tarde,1,noite,1,"Alameda dos Vidoeiros 455, Sitios de Recreio Gramado, 13101-680 Campinas"
195655223793145,Sinhá Joana,APA Zona Urbana (Sousas Joaquim Egídio),2,19421,901.4993269275403,Mon,16,manha,9,tarde,3,noite,4,"Rua: Maneco Rosa 16, 13106005 Campinas"
262487617195633,Outback Brasil,Flamboyant,0,57756,4607.542022002218,Mon,244,manha,32,tarde,94,noite,118,"Av. Iguatemi , 777, 13092-500 Campinas"
266934423457878,Gisele bolos e cia,Campo Grande,0,105720,2248.954976227704,Mon,44,manha,10,tarde,18,noite,16,"rua octavio cesar borghi 149 jardim lisa, 13058-377 Campinas"
267344626707567,Churrascaria Nova Pampa,Parque Ecológico,3,14781,999.3712095089348,Mon,93,manha,44,tarde,23,noite,26,"Rodovia Dom Pedro I KM-127, 13067-703 Campinas"
1059575517433659,Cantinho do Açaí,Ouro Verde,1,141490,4786.3739386353645,Sat,65,manha,31,tarde,18,noite,16,"Rua Carmem de Angêlis Nicoleti, 398, Dic V, 13054-532 Campinas"
1841871336097389,Tordilho Negro Campinas,Barão Geraldo,1,38740,1010.9445050442843,Sat,12,manha,9,tarde,1,noite,2,"Rua Mirta Coluccini Porto, 2100, 13087 Campinas"
1723674894516792,Mais Açaí,Campo Grande,1,105720,2248.954976227704,Sun,47,manha,17,tarde,13,noite,17,"Avenida Armando Mario Tozzi n 274 Jd Liza II, 13058378 Campinas"
241866802670645,Paiol bar campinas,Ouro Verde,2,141490,4786.3739386353645,Sun,86,manha,29,tarde,24,noite,33,"Avenida Ruy Rodrigues, 6201-6283, 13056-511 Campinas"
196431447234520,Estância D'Oliveira,Taquaral,2,62735,4755.858116457308,Thu,104,manha,34,tarde,53,noite,17,"R. Bento Arruda Camargo, 680, 13088-650 Campinas"
820851004602224,Tacada de Mestre Snooker Bar do Cris,Amoreiras,3,60786,6047.275114904794,Thu,127,manha,55,tarde,43,noite,29,"av. Dr. sales de oliveira. vil industrial Proximo a faculdade metrocamp, 13035270 Campinas"
530971553683977,Let's Eat Cambuí,Centro,2,74062,10757.789236691118,Tue,16,manha,7,tarde,2,noite,7,"Rua Américo Brasiliense, 166, 13025 Campinas"
531645433534991,Pizzaria Do Gordo,PUCCamp (Roseira),0,112644,7192.09306483125,Wed,72,manha,33,tarde,20,noite,19,"R Paulo Vianna de Souza 1406 - Parque Residencial Vila União, 13060-726 Campinas"
217753541747724,Lanche da dinda,Ouro Verde,1,141490,4786.3739386353645,Fri,31,manha,10,tarde,13,noite,8,"av, Arimana, 13056-424 Campinas"
1141045409240887,Da Roça - Açaí e Sucos,Barão Geraldo,3,38740,1010.9445050442843,Mon,65,manha,20,tarde,33,noite,12,"Rua Dr. Luverci Pereira de Souza 1800, 13083-735 Campinas"
1151787801511572,Higa Atacado,IAC (Exército),0,2744,123.9710493263818,Mon,33,manha,8,tarde,18,noite,7,"Rua Pedro Stancato, 39/163, 13082-050 Campinas"
643726032409457,Buffet Infantil Estrela Maior,Castelo,2,67263,5683.108587650817,Mon,37,manha,9,tarde,17,noite,11,"Av. Marechal Rondon, 1164, Jd. Chapadão, 13070 Campinas"
704390099683029,Omatuto Shopping Bandeiras,Complexo Delta,2,469,30.294222136097922,Mon,245,manha,23,tarde,116,noite,106,"Avenida John Boyd Dunlop, 3900, 13060 Campinas"
965881310114315,Pizzaria Vitória,Campo Belo (Cidade Singer),1,47336,4325.608597119673,Mon,32,manha,12,tarde,7,noite,13,"Avenida Antonio Sales Proenca, 570, 13053-330 Campinas"
692557770880231,Bruno lanches,Campo Grande,1,105720,2248.954976227704,Sat,45,manha,8,tarde,6,noite,31,"Rua: Padre Henrique Pereira Neto (antiga 8), nº 93 - Parque Itajaí, 13058017 Campinas"
1680019975586748,Kabana do Açaí & Cia,Jardim do Trevo,1,52376,3893.865837973667,Sun,79,manha,26,tarde,27,noite,26,13051006 Campinas
375642759276774,Sorveteria Doce Sabor,Jardim do Trevo,0,52376,3893.865837973667,Sun,123,manha,55,tarde,38,noite,30,"Rua Ivan Astolfi, 401 - ao lado do Lanchão, 13052574 Campinas"
526241647427152,Boteco Do André,APA Zona Urbana (Sousas Joaquim Egídio),2,19421,901.4993269275403,Thu,14,manha,3,tarde,8,noite,3,"Rua Heitor Penteado, 1049, 13075185 Campinas"
